# PAGES2kv2_NAm-ut512LMR499 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ut512LMR499 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Briffa, K.; Schweingruber, F.H.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Briffa, K.; Schweingruber, F.H.
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Hidden Peak   Wasatch Mtn. 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 40.6
#	Southernmost_Latitude: 40.6
#	Easternmost_Longitude: -111.6
#	Westernmost_Longitude: -111.6
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ut512LMR499
#	Earliest_Year: 1700
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1700	0.911
1701	0.947
1702	0.917
1703	0.892
1704	0.831
1705	0.823
1706	0.953
1707	0.96
1708	0.951
1709	0.908
1710	0.915
1711	0.906
1712	0.99
1713	0.905
1714	0.9
1715	0.855
1716	0.952
1717	1.025
1718	0.974
1719	0.932
1720	0.985
1721	0.976
1722	0.987
1723	0.962
1724	1.04
1725	0.838
1726	0.921
1727	0.841
1728	0.997
1729	0.955
1730	0.927
1731	0.905
1732	0.959
1733	0.944
1734	0.993
1735	0.983
1736	0.905
1737	1.016
1738	0.983
1739	0.995
1740	0.911
1741	1.099
1742	0.977
1743	1.016
1744	0.981
1745	0.964
1746	0.909
1747	0.981
1748	0.967
1749	0.969
1750	1.001
1751	1.065
1752	0.98
1753	1.014
1754	0.95
1755	0.939
1756	1.065
1757	1.013
1758	0.935
1759	0.981
1760	0.906
1761	0.9
1762	0.972
1763	0.909
1764	0.84
1765	0.924
1766	0.861
1767	0.913
1768	0.98
1769	0.894
1770	1.019
1771	1.025
1772	1.048
1773	1.066
1774	1.09
1775	0.993
1776	1.118
1777	1.026
1778	1.021
1779	0.948
1780	1.042
1781	1.014
1782	0.943
1783	1.02
1784	0.978
1785	1.002
1786	1.025
1787	0.945
1788	1.039
1789	1.013
1790	0.958
1791	1.037
1792	1.068
1793	1.052
1794	1.076
1795	1.039
1796	1.031
1797	1.012
1798	1.095
1799	1.071
1800	0.999
1801	0.996
1802	1.061
1803	1.047
1804	1.061
1805	1.019
1806	1.073
1807	1.017
1808	1.02
1809	1.019
1810	0.982
1811	0.918
1812	1.034
1813	0.991
1814	1.025
1815	0.972
1816	1.044
1817	1.015
1818	0.966
1819	0.933
1820	0.991
1821	0.944
1822	0.982
1823	1.02
1824	0.988
1825	0.983
1826	0.964
1827	0.968
1828	0.871
1829	1.039
1830	0.935
1831	0.942
1832	0.883
1833	1.02
1834	1.039
1835	0.934
1836	1.018
1837	0.908
1838	0.975
1839	0.958
1840	0.964
1841	0.99
1842	0.938
1843	1.025
1844	1.054
1845	0.981
1846	1.056
1847	1.034
1848	0.956
1849	0.941
1850	0.973
1851	1.024
1852	1.048
1853	1.05
1854	0.966
1855	1.063
1856	1.077
1857	1.046
1858	0.991
1859	1.0
1860	0.965
1861	1.021
1862	0.969
1863	1.117
1864	1.083
1865	1.089
1866	0.871
1867	1.073
1868	0.89
1869	0.941
1870	0.939
1871	1.025
1872	0.985
1873	1.003
1874	1.016
1875	1.04
1876	0.999
1877	1.002
1878	1.044
1879	1.06
1880	0.891
1881	1.089
1882	0.985
1883	0.977
1884	0.904
1885	1.04
1886	1.021
1887	1.027
1888	0.961
1889	1.066
1890	0.923
1891	0.967
1892	1.002
1893	0.961
1894	1.012
1895	1.042
1896	0.992
1897	1.125
1898	1.103
1899	0.867
1900	1.012
1901	0.972
1902	1.061
1903	1.061
1904	0.968
1905	0.97
1906	0.91
1907	0.905
1908	0.956
1909	1.031
1910	1.079
1911	1.063
1912	0.999
1913	1.027
1914	1.051
1915	1.024
1916	0.96
1917	0.981
1918	0.975
1919	1.057
1920	0.956
1921	1.03
1922	1.0
1923	0.906
1924	1.032
1925	0.985
1926	1.076
1927	0.963
1928	1.082
1929	1.013
1930	0.962
1931	1.068
1932	1.01
1933	1.065
1934	1.073
1935	1.031
1936	1.033
1937	1.068
1938	1.068
1939	1.066
1940	1.061
1941	0.897
1942	1.052
1943	1.066
1944	1.049
1945	0.998
1946	1.08
1947	0.991
1948	1.076
1949	1.126
1950	1.062
1951	0.974
1952	1.105
1953	1.015
1954	1.028
1955	1.078
1956	1.094
1957	1.021
1958	1.11
1959	1.039
1960	1.087
1961	1.074
1962	1.107
1963	1.064
1964	0.918
1965	0.842
1966	1.141
1967	1.047
1968	0.801
1969	1.128
1970	1.063
1971	1.012
1972	0.994
1973	1.046
1974	0.976
1975	0.921
1976	1.022
1977	1.052
1978	0.944
1979	0.967
1980	0.928
1981	1.042
1982	1.012
1983	1.026
