# PAGES2kv2_NAm-co517LMR473 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-co517LMR473 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Arapahoe 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 40.1
#	Southernmost_Latitude: 40.1
#	Easternmost_Longitude: -105.6
#	Westernmost_Longitude: -105.6
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-co517LMR473
#	Earliest_Year: 1610
#	Most_Recent_Year: 1982
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1610	1.051
1611	0.992
1612	0.992
1613	1.071
1614	1.051
1615	1.011
1616	1.031
1617	1.041
1618	0.972
1619	0.962
1620	1.021
1621	0.952
1622	0.972
1623	0.932
1624	0.982
1625	0.962
1626	0.962
1627	0.972
1628	0.962
1629	0.932
1630	0.992
1631	1.031
1632	1.061
1633	0.962
1634	1.021
1635	0.922
1636	1.011
1637	0.962
1638	1.001
1639	0.972
1640	0.952
1641	0.932
1642	0.952
1643	0.922
1644	0.853
1645	0.922
1646	0.932
1647	1.021
1648	0.972
1649	1.051
1650	1.061
1651	1.021
1652	0.972
1653	1.031
1654	1.011
1655	1.001
1656	0.992
1657	0.972
1658	0.922
1659	0.962
1660	0.902
1661	0.972
1662	0.992
1663	0.972
1664	1.031
1665	0.962
1666	0.982
1667	1.011
1668	0.992
1669	0.922
1670	0.932
1671	0.952
1672	0.952
1673	0.932
1674	0.962
1675	0.952
1676	0.982
1677	0.972
1678	0.952
1679	0.902
1680	0.992
1681	0.982
1682	0.902
1683	0.982
1684	0.932
1685	0.962
1686	0.992
1687	0.982
1688	0.972
1689	1.011
1690	1.031
1691	0.982
1692	0.992
1693	1.051
1694	0.989
1695	0.898
1696	1.0
1697	0.975
1698	0.9
1699	0.999
1700	0.954
1701	0.923
1702	1.015
1703	0.982
1704	1.03
1705	1.022
1706	1.039
1707	0.992
1708	1.034
1709	1.013
1710	1.066
1711	1.047
1712	1.024
1713	1.002
1714	0.866
1715	1.028
1716	0.976
1717	0.966
1718	1.023
1719	1.006
1720	1.026
1721	0.992
1722	0.929
1723	0.962
1724	0.933
1725	0.912
1726	0.949
1727	0.92
1728	1.027
1729	0.974
1730	0.949
1731	0.986
1732	0.923
1733	1.006
1734	0.972
1735	0.97
1736	0.883
1737	0.984
1738	0.941
1739	0.993
1740	0.915
1741	1.024
1742	0.912
1743	0.964
1744	1.042
1745	1.001
1746	0.917
1747	1.015
1748	0.939
1749	0.972
1750	0.917
1751	0.936
1752	1.002
1753	0.985
1754	1.044
1755	0.951
1756	1.019
1757	0.921
1758	0.893
1759	0.956
1760	0.951
1761	0.871
1762	0.947
1763	0.934
1764	0.977
1765	1.046
1766	0.958
1767	1.039
1768	0.993
1769	1.026
1770	0.896
1771	0.984
1772	1.011
1773	0.963
1774	1.021
1775	0.945
1776	0.935
1777	1.004
1778	0.967
1779	0.856
1780	1.055
1781	1.055
1782	0.965
1783	1.043
1784	0.992
1785	0.971
1786	1.05
1787	0.939
1788	1.005
1789	0.953
1790	0.922
1791	0.95
1792	1.048
1793	1.055
1794	1.088
1795	1.054
1796	1.061
1797	1.021
1798	1.086
1799	1.086
1800	1.036
1801	1.062
1802	1.044
1803	1.067
1804	1.011
1805	0.882
1806	1.053
1807	1.044
1808	0.97
1809	1.024
1810	0.89
1811	0.908
1812	1.017
1813	1.066
1814	1.094
1815	1.016
1816	0.975
1817	0.95
1818	0.885
1819	0.968
1820	1.029
1821	1.002
1822	1.073
1823	1.047
1824	1.087
1825	1.137
1826	1.087
1827	1.089
1828	0.941
1829	1.04
1830	1.081
1831	0.85
1832	1.015
1833	1.023
1834	1.063
1835	0.912
1836	1.045
1837	0.947
1838	1.0
1839	1.058
1840	1.055
1841	1.025
1842	0.983
1843	0.943
1844	0.991
1845	0.97
1846	1.037
1847	0.988
1848	1.024
1849	1.078
1850	0.986
1851	1.041
1852	1.017
1853	1.064
1854	1.043
1855	1.054
1856	1.092
1857	0.971
1858	0.985
1859	1.062
1860	1.037
1861	1.022
1862	1.024
1863	1.082
1864	1.054
1865	1.033
1866	0.745
1867	0.92
1868	0.832
1869	1.013
1870	0.977
1871	1.059
1872	0.893
1873	1.026
1874	1.022
1875	1.011
1876	1.004
1877	1.014
1878	1.013
1879	1.035
1880	0.947
1881	1.086
1882	0.971
1883	1.048
1884	0.989
1885	0.946
1886	1.056
1887	1.03
1888	0.962
1889	0.983
1890	0.947
1891	0.954
1892	0.971
1893	0.939
1894	1.03
1895	1.005
1896	1.016
1897	1.056
1898	1.037
1899	1.025
1900	0.988
1901	1.013
1902	1.038
1903	1.014
1904	0.935
1905	1.009
1906	0.958
1907	0.964
1908	0.923
1909	0.947
1910	1.042
1911	1.061
1912	0.986
1913	1.045
1914	1.064
1915	0.928
1916	1.002
1917	0.98
1918	1.039
1919	1.041
1920	0.866
1921	1.001
1922	1.032
1923	0.971
1924	1.061
1925	0.972
1926	1.077
1927	0.976
1928	1.036
1929	1.019
1930	1.02
1931	1.022
1932	1.047
1933	0.987
1934	1.014
1935	0.985
1936	1.041
1937	1.024
1938	0.991
1939	1.084
1940	1.027
1941	0.996
1942	1.016
1943	1.039
1944	0.973
1945	1.035
1946	1.021
1947	1.03
1948	1.072
1949	1.002
1950	1.001
1951	0.968
1952	1.067
1953	1.026
