# PAGES2kv2_NAm-ca560LMR404 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-ca560LMR404 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Briffa, K.; Schweingruber, F.H. 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Briffa, K.; Schweingruber, F.H. 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Yosemite Park   E Eingang 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 37.8
#	Southernmost_Latitude: 37.8
#	Easternmost_Longitude: -119.3
#	Westernmost_Longitude: -119.3
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-ca560LMR404
#	Earliest_Year: 1513
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1513	1.01
1514	0.95
1515	1.03
1516	1.037
1517	0.999
1518	1.082
1519	0.918
1520	1.061
1521	1.05
1522	1.09
1523	1.002
1524	1.003
1525	1.076
1526	0.99
1527	0.982
1528	0.923
1529	1.083
1530	0.981
1531	0.979
1532	1.033
1533	0.965
1534	0.959
1535	0.906
1536	0.948
1537	0.858
1538	0.925
1539	0.992
1540	0.987
1541	1.09
1542	1.01
1543	0.989
1544	0.961
1545	1.02
1546	0.93
1547	1.02
1548	0.977
1549	0.906
1550	1.056
1551	1.058
1552	0.993
1553	0.876
1554	1.049
1555	1.014
1556	1.054
1557	0.869
1558	1.002
1559	1.038
1560	0.885
1561	1.057
1562	0.96
1563	1.049
1564	0.893
1565	1.082
1566	1.034
1567	1.041
1568	1.019
1569	1.027
1570	1.049
1571	1.043
1572	1.004
1573	0.988
1574	1.033
1575	1.055
1576	1.051
1577	0.894
1578	0.999
1579	0.954
1580	1.008
1581	1.002
1582	0.985
1583	0.996
1584	1.047
1585	0.995
1586	1.011
1587	0.99
1588	0.948
1589	0.998
1590	1.076
1591	1.05
1592	1.091
1593	0.986
1594	1.041
1595	1.089
1596	0.891
1597	1.062
1598	1.096
1599	0.971
1600	1.072
1601	0.824
1602	0.977
1603	0.911
1604	0.87
1605	0.916
1606	0.935
1607	0.891
1608	0.873
1609	0.95
1610	0.926
1611	1.04
1612	0.923
1613	0.975
1614	0.964
1615	1.06
1616	1.018
1617	0.891
1618	1.025
1619	1.041
1620	1.035
1621	0.994
1622	1.053
1623	1.037
1624	1.026
1625	0.984
1626	0.995
1627	1.024
1628	1.027
1629	1.093
1630	1.083
1631	0.97
1632	1.09
1633	0.941
1634	1.09
1635	1.048
1636	1.072
1637	1.158
1638	0.952
1639	1.059
1640	0.887
1641	0.849
1642	0.963
1643	0.899
1644	0.918
1645	1.071
1646	0.883
1647	1.013
1648	0.961
1649	1.001
1650	0.972
1651	1.038
1652	1.002
1653	0.943
1654	1.021
1655	0.985
1656	0.988
1657	1.025
1658	1.039
1659	1.082
1660	1.014
1661	1.073
1662	1.026
1663	1.013
1664	1.027
1665	1.099
1666	0.964
1667	1.05
1668	0.841
1669	1.006
1670	1.07
1671	1.067
1672	0.898
1673	1.02
1674	0.942
1675	1.087
1676	1.04
1677	1.058
1678	0.944
1679	0.995
1680	0.828
1681	1.019
