# PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#	Published_Date_or_Year: 
#	Published_Title: Coral-based climate variability in the Western Pacific Warm Pool since 1867
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1029/2005JC003243
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Rabaul
#	Location: 
#	Country: 
#	Northernmost_Latitude: -4.1916
#	Southernmost_Latitude: -4.1916
#	Easternmost_Longitude: 151.9772
#	Westernmost_Longitude: 151.9772
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667
#	Earliest_Year: 1867.38
#	Most_Recent_Year: 1997.54
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"06papu01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Sr/Ca	strontium calcium ratio, , , mmol/mol, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Sr/Ca
1981.87	8.71843
1981.79	8.72076
1981.71	8.71976
1981.62	8.7163
1981.54	8.76026
1981.46	8.77755
1981.37	8.74501
1981.29	8.70609
1981.21	8.69439
1981.12	8.70991
1981.04	8.72333
1980.96	8.73383
1980.87	8.73268
1980.79	8.76867
1980.71	8.78639
1980.62	8.81964
1980.54	8.81744
1980.46	8.78362
1980.37	8.76302
1980.29	8.73528
1980.21	8.72757
1980.12	8.73476
1980.04	8.75549
1979.96	8.77747
1979.87	8.79846
1979.79	8.79511
1979.71	8.77583
1979.62	8.74545
1979.54	8.73483
1979.46	8.7313
1979.37	8.72072
1979.29	8.72274
1979.21	8.71843
1979.12	8.70446
1979.04	8.69772
1978.96	8.69964
1978.87	8.70476
1978.79	8.7052
1978.71	8.71087
1978.62	8.71225
1978.54	8.73164
1978.46	8.74524
1978.37	8.75479
1978.29	8.76655
1978.21	8.77349
1978.12	8.78155
1978.04	8.78207
1977.96	8.79786
1977.87	8.81512
1977.79	8.81751
1977.71	8.809
1977.62	8.79849
1977.54	8.79651
1977.46	8.78742
1977.37	8.76851
1977.29	8.74889
1977.21	8.74239
1977.12	8.74678
1977.04	8.75618
1976.96	8.76264
1976.87	8.76481
1976.79	8.80521
1976.71	8.86253
1976.62	8.89723
1976.54	8.90381
1976.46	8.8653
1976.37	8.84204
1976.29	8.83381
1976.21	8.8246
1976.12	8.83669
1976.04	8.85881
1975.96	8.85374
1975.87	8.83526
1975.79	8.82969
1975.71	8.81938
1975.62	8.85016
1975.54	8.87605
1975.46	8.84864
1975.37	8.82537
1975.29	8.79968
1975.21	8.76686
1975.12	8.76022
1975.04	8.75401
1974.96	8.74657
1974.87	8.75153
1974.79	8.76678
1974.71	8.77257
1974.62	8.77794
1974.54	8.7861
1974.46	8.78415
1974.37	8.80008
1974.29	8.82489
1974.21	8.83747
1974.12	8.80714
1974.04	8.75269
1973.96	8.71881
1973.87	8.72291
1973.79	8.74557
1973.71	8.74448
1973.62	8.73556
1973.54	8.7597
1973.46	8.77245
1973.37	8.76675
1973.29	8.75953
1973.21	8.75811
1973.12	8.75943
1973.04	8.73978
1972.96	8.72537
1972.87	8.75032
1972.79	8.79429
1972.71	8.82511
1972.62	8.84481
1972.54	8.8634
1972.46	8.863
1972.37	8.84254
1972.29	8.80806
1972.21	8.78069
1972.12	8.77873
1972.04	8.76525
1971.96	8.76932
1971.87	8.769
1971.79	8.77546
1971.71	8.76638
1971.62	8.77043
1971.54	8.77224
1971.46	8.77005
1971.37	8.77236
1971.29	8.76559
1971.21	8.75728
1971.12	8.75706
1971.04	8.75947
1970.96	8.76251
1970.87	8.75796
1970.79	8.75482
1970.71	8.76084
1970.62	8.7556
1970.54	8.74266
1970.46	8.73722
1970.37	8.75258
1970.29	8.77237
1970.21	8.76201
1970.12	8.76803
1970.04	8.77431
1969.96	8.77097
1969.87	8.77286
1969.79	8.77446
1969.71	8.75246
1969.62	8.75802
1969.54	8.74408
1969.46	8.72766
1969.37	8.73857
1969.29	8.75002
1969.21	8.75391
1969.12	8.7413
1969.04	8.74652
1968.96	8.76506
1968.87	8.76867
1968.79	8.76033
1968.71	8.77578
1968.62	8.76642
1968.54	8.76197
1968.46	8.76124
1968.37	8.76131
1968.29	8.78045
1968.21	8.80237
1968.12	8.80796
1968.04	8.79637
1967.96	8.7722
1967.87	8.74486
1967.79	8.73673
1967.71	8.73693
1967.62	8.74038
1967.54	8.72869
1967.46	8.71216
1967.37	8.72884
1967.29	8.75611
1967.21	8.75933
1967.12	8.75562
1967.04	8.75396
