# PAGES2kv2_Arc-Arjeplog_Bjorklund_2014LMR38 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Arc-Arjeplog_Bjorklund_2014LMR38 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Björklund, J. A.,Gunnarson, B. E.,Seftigen, K.,Esper, J.,Linderholm, H. W.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Björklund, J. A.,Gunnarson, B. E.,Seftigen, K.,Esper, J.,Linderholm, H. W.
#	Published_Date_or_Year: 
#	Published_Title: Blue intensity and density from northern Fennoscandian tree rings, exploring the potential to improve summer temperature reconstructions with earlywood information
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.5194/cp-10-877-2014
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Arjeplog
#	Location: 
#	Country: 
#	Northernmost_Latitude: 66.3
#	Southernmost_Latitude: 66.3
#	Easternmost_Longitude: 18.2
#	Westernmost_Longitude: 18.2
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Arc-Arjeplog_Bjorklund_2014LMR38
#	Earliest_Year: 1200
#	Most_Recent_Year: 2010
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"correlation with instrumental", "climateVariable":"T", "climateVariableDetail":"air-surface", "interpDirection":"positive", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##earl_d	delta earlywood density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	earl_d
1336	-0.734056086841
1337	-0.5193740732
1338	-0.517206537669
1339	0.0965365872113
1340	-0.448030412437
1341	-0.0584101393973
1342	0.791774199255
1343	-0.0562043207244
1344	-0.664380657725
1345	-0.503634944933
1346	-2.10887802389
1347	0.509333860042
1348	-2.25904416061
1349	-0.598950097135
1350	-0.160473098562
1351	0.0708621254664
1352	-0.580319273656
1353	0.137570575358
1354	0.895587193548
1355	-0.461236724606
1356	0.805546991334
1357	-0.750226758614
1358	-1.0301150514
1359	-0.788359465013
1360	-0.747757937407
1361	-0.280123600749
1362	-0.346637093763
1363	-1.40318906131
1364	-0.581565472578
1365	0.804505130855
1366	0.348731426862
1367	-0.609863422665
1368	1.40658392591
1369	-0.660747817144
1370	-1.31433988409
1371	0.253195673684
1372	0.0974296365902
1373	-0.531466623221
1374	1.42908324704
1375	-1.44579824966
1376	-0.640238647675
1377	-0.858221206503
1378	-0.317791767945
1379	0.685057437064
1380	0.577983027797
1381	0.136706518676
1382	-0.644007969453
1383	0.886634667954
1384	-0.11656565845
1385	-1.47912087823
1386	-0.327379304479
1387	-0.797603368993
1388	-0.362508685403
1389	-2.04827804521
1390	0.803810983706
1391	-0.100342430615
1392	-0.993694234651
1393	-1.46177638994
1394	-1.72173495521
1395	-1.3284307413
1396	-0.632979592584
1397	-0.694554112751
1398	-0.760552195186
1399	-0.122676635258
1400	-1.31450067513
1401	-0.301838436055
1402	1.13204722556
1403	-0.0497959951211
1404	0.663126873308
1405	-0.129342309491
1406	0.604531914338
1407	0.499980294651
1408	0.179142403358
1409	1.16519665784
1410	0.920193460497
1411	0.694529133639
1412	-1.00625749535
1413	0.66761778243
1414	-0.696685786817
1415	0.347558451062
1416	0.36708382144
1417	0.0872517489841
1418	0.670908264055
1419	-0.649008934615
1420	-0.219787772969
1421	-0.761643099243
1422	-0.125734008038
1423	-1.15646861052
1424	0.188726418907
1425	0.408066149216
1426	-0.179427428
1427	0.832926366643
1428	-0.874718914791
1429	0.108178050408
1430	-0.578185110933
1431	0.859159410321
1432	1.16105678572
1433	-0.0219530424269
1434	0.889972146264
1435	0.0935357114438
1436	-0.162120490801
1437	-0.942540919845
1438	-1.18295970741
1439	-0.692493774659
1440	-0.852791712991
1441	-0.199596777607
1442	-0.365063019652
1443	-0.522279977589
1444	-0.910180910675
1445	-0.422333068742
1446	-0.803577859294
1447	-1.55672887084
1448	-1.2165815208
1449	-0.619679979562
1450	0.200178483641
1451	-0.418673208181
1452	-0.954024653871
1453	-2.95110236049
1454	-1.1913482338
1455	-1.83489693588
1456	-1.63772932235
1457	-2.40486768535
1458	-1.19331744244
