# PAGES2kv2_NAm-cana321LMR449 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-cana321LMR449 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Jacoby, G.C.; DArrigo, R.; Wiles, G. 
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Jacoby, G.C.; DArrigo, R.; Wiles, G. 
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Eagle Fecal/Ptarmigan Merge 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 69.5
#	Southernmost_Latitude: 69.5
#	Easternmost_Longitude: -127.8
#	Westernmost_Longitude: -127.8
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-cana321LMR449
#	Earliest_Year: 1550
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##MXD	maximum latewood density, , , , "[6, 7, 8]", Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
1550	0.963
1551	1.032
1552	1.008
1553	1.04
1554	1.029
1555	1.016
1556	0.993
1557	0.9
1558	1.025
1559	0.981
1560	1.091
1561	0.967
1562	0.945
1563	1.06
1564	1.049
1565	1.067
1566	1.012
1567	1.069
1568	0.907
1569	1.002
1570	1.116
1571	0.983
1572	0.977
1573	1.027
1574	1.008
1575	1.071
1576	1.104
1577	0.987
1578	0.976
1579	1.085
1580	0.957
1581	0.936
1582	1.007
1583	1.06
1584	1.071
1585	0.86
1586	1.061
1587	1.056
1588	1.018
1589	1.118
1590	1.086
1591	0.885
1592	0.84
1593	0.975
1594	0.985
1595	0.963
1596	0.98
1597	0.994
1598	0.949
1599	1.091
1600	0.97
1601	0.951
1602	1.063
1603	0.957
1604	0.993
1605	0.843
1606	0.919
1607	0.931
1608	1.014
1609	0.891
1610	1.091
1611	1.104
1612	1.036
1613	1.006
1614	1.033
1615	0.943
1616	0.991
1617	0.976
1618	1.031
1619	0.931
1620	0.857
1621	0.998
1622	1.005
1623	0.954
1624	0.961
1625	0.998
1626	1.021
1627	0.948
1628	1.001
1629	0.971
1630	1.015
1631	0.971
1632	0.96
1633	1.05
1634	1.035
1635	0.991
1636	1.026
1637	1.08
1638	1.053
1639	0.991
1640	1.06
1641	0.745
1642	0.882
1643	0.972
1644	1.01
1645	0.985
1646	0.97
1647	1.034
1648	1.039
1649	0.955
1650	1.064
1651	1.01
1652	0.93
1653	0.951
1654	0.961
1655	1.007
1656	1.044
1657	1.072
1658	1.035
1659	1.08
1660	1.051
1661	1.015
1662	1.016
1663	0.893
1664	1.011
1665	0.929
1666	1.066
1667	0.908
1668	1.039
1669	1.068
1670	0.965
1671	1.001
1672	0.938
1673	1.017
1674	0.916
1675	1.003
1676	1.012
1677	0.803
1678	1.053
1679	0.859
1680	0.965
1681	0.933
1682	1.03
1683	1.061
1684	1.022
1685	0.917
1686	1.05
1687	1.007
1688	1.079
1689	0.911
1690	0.789
1691	1.033
1692	1.062
1693	0.902
1694	1.006
1695	0.938
1696	0.983
1697	0.978
1698	0.97
1699	0.742
1700	0.977
1701	0.82
1702	0.957
1703	0.971
1704	0.939
1705	0.921
1706	1.018
1707	1.026
1708	1.023
1709	0.964
1710	0.997
1711	0.912
1712	0.818
1713	1.026
1714	0.897
1715	1.015
1716	0.9
1717	0.961
1718	0.953
1719	0.996
1720	1.055
1721	1.058
