# PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Vladimirova, Diana; Ekaykin, Alexey
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Vladimirova, Diana; Ekaykin, Alexey
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 105th km
#	Location: 
#	Country: 
#	Northernmost_Latitude: -67.433
#	Southernmost_Latitude: -67.433
#	Easternmost_Longitude: 93.383
#	Westernmost_Longitude: 93.383
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2
#	Earliest_Year: 1766
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##dD	deuterium isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	dD
1987	-206.967040266
1986	-215.459100283
1985	-205.613680019
1984	-210.401612776
1983	-198.018731854
1982	-222.551473392
1981	-215.076349792
1980	-216.694651694
1979	-218.514785033
1978	-207.421287623
1977	-223.25159867
1976	-234.98912342
1975	-221.462657101
1974	-219.498686082
1973	-232.712555746
1972	-223.011360184
1971	-220.500036188
1970	-228.457980315
1969	-219.79131125
1968	-212.652415465
1967	-200.559213162
1966	-211.27937581
1965	-224.821179605
1964	-222.095197693
1963	-222.317441691
1962	-217.398600818
1961	-215.761925523
1960	-223.386146454
1959	-223.169082073
1958	-229.425119754
1957	-224.564918671
1956	-217.636179537
1955	-212.282406065
1954	-218.323133204
1953	-226.657955188
1952	-222.564692546
1951	-214.581204677
1950	-213.58495961
1949	-210.971061842
1948	-223.875506847
1947	-206.603880684
1946	-227.44498368
1945	-217.900562411
1944	-220.377475691
1943	-215.95290285
1942	-220.583065403
1941	-219.974664454
1940	-218.188339818
1939	-221.165808128
1938	-224.124126698
1937	-241.468687154
1936	-244.834244908
1935	-230.089991889
1934	-230.400999229
1933	-226.626199529
1932	-228.612382015
1931	-225.484011511
1930	-212.766932182
1929	-219.091875294
1928	-231.45502975
1927	-215.610031554
1926	-221.939778485
1925	-220.560882648
1924	-222.33173923
1923	-206.197350535
1922	-221.086663904
1921	-218.728399238
1920	-215.797551732
1919	-237.22517815
1918	-240.149546492
1917	-242.993035724
1916	-226.283224109
1915	-220.526019333
1914	-232.525972984
1913	-218.817120453
1912	-220.840103686
1911	-222.717649931
1910	-235.383500563
1909	-242.198218737
1908	-221.509425264
1907	-229.742726641
1906	-233.6145601
1905	-229.868930245
1904	-224.732416272
1903	-225.265921494
1902	-229.234533655
1901	-221.612631825
1900	-223.971357249
1899	-226.980045884
1898	-245.637227393
1897	-229.923921665
1896	-223.168953708
1895	-207.392343468
1894	-220.137621208
1893	nan
1892	-225.502124006
1891	-240.055650775
1890	-235.891868701
1889	-216.372474146
1888	-220.654498545
1887	-226.443670637
1886	-223.503324808
1885	-225.782502959
1884	-222.602942603
1883	-230.48912875
1882	-223.47882651
1881	-235.599527866
1880	-224.990344726
1879	-205.466374365
1878	-216.463173915
1877	-214.034121849
1876	-234.376158384
1875	-235.379540768
1874	-221.344696653
1873	-227.347330965
1872	-220.782075946
1871	-205.369962471
1870	-213.964115516
1869	-216.808285058
1868	-210.569312777
1867	-219.903054356
1866	-228.374230419
1865	-220.151794374
1864	-217.314692103
1863	-215.137904015
1862	-186.992931735
1861	-202.506676833
