# PAGES2kv2_Ocean2kHR-AtlanticMexicoVasquez2012LMR593 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-AtlanticMexicoVasquez2012LMR593 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Tierney, Jessica E.,Abram, Nerilie J.,Anchukaitis, Kevin J.,Evans, Michael N.,Giry, Cyril,Kilbourne, K. Halimeda,Saenger, Casey P.,Wu, Henry C.,Zinke, Jens
#	Published_Date_or_Year: 
#	Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1002/2014PA002717
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Punta Maroma, Mexico
#	Location: 
#	Country: 
#	Northernmost_Latitude: 20.83
#	Southernmost_Latitude: 20.83
#	Easternmost_Longitude: -86.74
#	Westernmost_Longitude: -86.74
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-AtlanticMexicoVasquez2012LMR593
#	Earliest_Year: 1773
#	Most_Recent_Year: 2009
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##ext	extension rate, , , mm/yr, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	ext
1875	-0.388452974506
1874	-0.247844535284
1873	0.298762460926
1872	0.0925193759257
1871	0.0879194959257
1870	0.0992932984257
1869	0.615367445926
1868	0.467747330926
1867	1.34874733093
1866	1.78842046593
1865	0.495914385926
1864	1.07858681093
1863	1.13539717593
1862	0.169764190926
1861	0.586453810926
1860	1.36183831093
1859	0.304495810926
1858	0.910463790926
1857	1.30496327093
1856	0.0509753309257
1855	0.804125240926
1854	0.396011300926
1853	0.537520353426
1852	0.653562098426
1851	0.843788725926
1850	0.313844745926
1849	0.927766628426
1848	0.263580000926
1847	0.501135925926
1846	0.657185545926
1845	0.853347925926
1844	-0.140643844074
1843	-0.0806603290743
1842	-0.0503405890743
1841	-0.606797455074
1840	0.232983386426
1839	0.904095124426
1838	-0.0309428080743
1837	0.430481138926
1836	0.493418375926
1835	0.470946952926
1834	0.101206260926
1833	0.725361567926
1832	-0.109779989074
1831	0.585944067926
1830	-0.434637835074
1829	0.147769106926
1828	0.355680875926
1827	0.266381467926
1826	0.569458132176
1825	0.830210028926
1824	0.0319533166757
1823	-0.574684925574
1822	0.357886248926
1821	-0.154889065074
1820	0.653297670426
1819	0.396727763426
1818	-0.186758468824
1817	-0.372875824074
1816	0.548328030426
1815	0.479506798426
1814	0.866833705176
1813	1.10308111168
1812	0.235654739676
1811	0.485270520926
1810	0.461222300926
1809	1.54302681093
1808	1.00150387093
1807	0.263525260926
1806	0.227494445926
1805	0.385802955926
1804	-0.186196989074
1803	-0.344548384074
1802	-0.396260349074
1801	-0.658488109074
1800	-0.891966439074
1799	-0.178296529074
1798	-0.399758014074
1797	-0.707922094074
1796	-0.0247287790743
1795	-0.128096309074
1794	-0.105620019074
1793	0.730776324926
1792	0.0778933045924
1791	-0.282904714074
1790	-0.332455149074
1789	-0.273714441074
1788	-0.273714441074
1787	-0.819428193074
1786	-0.920803817074
1785	-0.0434924810742
1784	-0.273714441074
1783	-1.14183015192
1782	-0.235271465919
1781	0.310865748081
1780	-0.325800295919
1779	-0.506857955919
1778	-0.597810247919
1777	-0.242893781919
1776	0.119221538081
1775	-0.967124421919
1774	0.119221538081
1773	-0.605009101919
